17/10/16 07:29:33 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/16 07:29:34 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.2:8032
17/10/16 07:29:35 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/16 07:29:37 INFO input.FileInputFormat: Total input files to process : 3035
17/10/16 07:29:37 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/16 07:29:37 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508137381679_0002
17/10/16 07:29:38 INFO impl.YarnClientImpl: Submitted application application_1508137381679_0002
17/10/16 07:29:38 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1508137381679_0002/
17/10/16 07:29:38 INFO mapreduce.Job: Running job: job_1508137381679_0002
17/10/16 07:29:45 INFO mapreduce.Job: Job job_1508137381679_0002 running in uber mode : false
17/10/16 07:29:45 INFO mapreduce.Job:  map 0% reduce 0%
17/10/16 07:30:21 INFO mapreduce.Job:  map 1% reduce 0%
17/10/16 07:31:13 INFO mapreduce.Job:  map 2% reduce 0%
17/10/16 07:32:00 INFO mapreduce.Job:  map 3% reduce 0%
17/10/16 07:32:46 INFO mapreduce.Job:  map 4% reduce 0%
17/10/16 07:33:36 INFO mapreduce.Job:  map 5% reduce 0%
17/10/16 07:34:19 INFO mapreduce.Job:  map 6% reduce 0%
17/10/16 07:35:07 INFO mapreduce.Job:  map 7% reduce 0%
17/10/16 07:35:53 INFO mapreduce.Job:  map 8% reduce 0%
17/10/16 07:36:38 INFO mapreduce.Job:  map 9% reduce 0%
17/10/16 07:37:26 INFO mapreduce.Job:  map 10% reduce 0%
17/10/16 07:38:13 INFO mapreduce.Job:  map 11% reduce 0%
17/10/16 07:38:59 INFO mapreduce.Job:  map 12% reduce 0%
17/10/16 07:39:45 INFO mapreduce.Job:  map 13% reduce 0%
17/10/16 07:40:29 INFO mapreduce.Job:  map 14% reduce 0%
17/10/16 07:41:14 INFO mapreduce.Job:  map 15% reduce 0%
17/10/16 07:42:00 INFO mapreduce.Job:  map 16% reduce 0%
17/10/16 07:42:42 INFO mapreduce.Job:  map 17% reduce 0%
17/10/16 07:43:27 INFO mapreduce.Job:  map 18% reduce 0%
17/10/16 07:44:08 INFO mapreduce.Job:  map 19% reduce 0%
17/10/16 07:44:52 INFO mapreduce.Job:  map 20% reduce 0%
17/10/16 07:45:38 INFO mapreduce.Job:  map 21% reduce 0%
17/10/16 07:46:20 INFO mapreduce.Job:  map 22% reduce 0%
17/10/16 07:47:02 INFO mapreduce.Job:  map 23% reduce 0%
17/10/16 07:47:48 INFO mapreduce.Job:  map 24% reduce 0%
17/10/16 07:48:28 INFO mapreduce.Job:  map 25% reduce 0%
17/10/16 07:49:13 INFO mapreduce.Job:  map 26% reduce 0%
17/10/16 07:49:57 INFO mapreduce.Job:  map 27% reduce 0%
17/10/16 07:50:41 INFO mapreduce.Job:  map 28% reduce 0%
17/10/16 07:51:24 INFO mapreduce.Job:  map 29% reduce 0%
17/10/16 07:52:07 INFO mapreduce.Job:  map 30% reduce 0%
17/10/16 07:52:51 INFO mapreduce.Job:  map 31% reduce 0%
17/10/16 07:53:40 INFO mapreduce.Job:  map 32% reduce 0%
17/10/16 07:54:23 INFO mapreduce.Job:  map 33% reduce 0%
17/10/16 07:55:07 INFO mapreduce.Job:  map 34% reduce 0%
17/10/16 07:55:53 INFO mapreduce.Job:  map 35% reduce 0%
17/10/16 07:56:35 INFO mapreduce.Job:  map 36% reduce 0%
17/10/16 07:57:16 INFO mapreduce.Job:  map 37% reduce 0%
17/10/16 07:58:00 INFO mapreduce.Job:  map 38% reduce 0%
17/10/16 07:58:44 INFO mapreduce.Job:  map 39% reduce 0%
17/10/16 07:59:26 INFO mapreduce.Job:  map 40% reduce 0%
17/10/16 08:00:13 INFO mapreduce.Job:  map 41% reduce 0%
17/10/16 08:00:53 INFO mapreduce.Job:  map 42% reduce 0%
17/10/16 08:01:38 INFO mapreduce.Job:  map 43% reduce 0%
17/10/16 08:02:20 INFO mapreduce.Job:  map 44% reduce 0%
17/10/16 08:03:05 INFO mapreduce.Job:  map 45% reduce 0%
17/10/16 08:03:48 INFO mapreduce.Job:  map 46% reduce 0%
17/10/16 08:04:33 INFO mapreduce.Job:  map 47% reduce 0%
17/10/16 08:05:17 INFO mapreduce.Job:  map 48% reduce 0%
17/10/16 08:05:58 INFO mapreduce.Job:  map 49% reduce 0%
17/10/16 08:06:41 INFO mapreduce.Job:  map 50% reduce 0%
17/10/16 08:07:25 INFO mapreduce.Job:  map 51% reduce 0%
17/10/16 08:08:09 INFO mapreduce.Job:  map 52% reduce 0%
17/10/16 08:08:51 INFO mapreduce.Job:  map 53% reduce 0%
17/10/16 08:09:34 INFO mapreduce.Job:  map 54% reduce 0%
17/10/16 08:10:15 INFO mapreduce.Job:  map 55% reduce 0%
17/10/16 08:10:58 INFO mapreduce.Job:  map 56% reduce 0%
17/10/16 08:11:40 INFO mapreduce.Job:  map 57% reduce 0%
17/10/16 08:12:25 INFO mapreduce.Job:  map 58% reduce 0%
17/10/16 08:13:04 INFO mapreduce.Job:  map 59% reduce 0%
17/10/16 08:13:48 INFO mapreduce.Job:  map 60% reduce 0%
17/10/16 08:14:30 INFO mapreduce.Job:  map 61% reduce 0%
17/10/16 08:15:17 INFO mapreduce.Job:  map 62% reduce 0%
17/10/16 08:15:56 INFO mapreduce.Job:  map 63% reduce 0%
17/10/16 08:16:38 INFO mapreduce.Job:  map 64% reduce 0%
17/10/16 08:17:21 INFO mapreduce.Job:  map 65% reduce 0%
17/10/16 08:17:58 INFO mapreduce.Job:  map 66% reduce 0%
17/10/16 08:18:43 INFO mapreduce.Job:  map 67% reduce 0%
17/10/16 08:19:23 INFO mapreduce.Job:  map 68% reduce 0%
17/10/16 08:20:03 INFO mapreduce.Job:  map 69% reduce 0%
17/10/16 08:20:47 INFO mapreduce.Job:  map 70% reduce 0%
17/10/16 08:21:24 INFO mapreduce.Job:  map 71% reduce 0%
17/10/16 08:22:08 INFO mapreduce.Job:  map 72% reduce 0%
17/10/16 08:22:48 INFO mapreduce.Job:  map 73% reduce 0%
17/10/16 08:23:30 INFO mapreduce.Job:  map 74% reduce 0%
17/10/16 08:24:13 INFO mapreduce.Job:  map 75% reduce 0%
17/10/16 08:24:53 INFO mapreduce.Job:  map 76% reduce 0%
17/10/16 08:25:33 INFO mapreduce.Job:  map 77% reduce 0%
